Accuracy,Glucose,Glucose.distribution,BMI,BMI.distribution,Age,Age.distribution,gpt_bin_count,small_bin_count
0.8145695364238411,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 29.0, 81.0]",[0.47786458 0.52213542],0,3
0.8145695364238411,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 28.9, 34.733, 67.1]",[0.33072917 0.3359375  0.33333333],"[0.0, 36.0, 51.0, 66.0, 81.0]",[0.6484375  0.24609375 0.08854167 0.01692708],0,3
0.8145695364238411,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 32.0, 67.1]",[0.48567708 0.51432292],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8145695364238411,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 24.0, 29.0, 41.0, 81.0]",[0.22526042 0.25260417 0.26953125 0.25260417],0,3
0.8145695364238411,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 27.3, 32.0, 36.6, 67.1]",[0.24739583 0.23828125 0.26302083 0.25130208],"[0.0, 29.0, 81.0]",[0.47786458 0.52213542],0,3
0.8145695364238411,"[0.0, 99.0, 154.0, 199.0]",[0.234375   0.59895833 0.16666667],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 36.0, 51.0, 66.0, 81.0]",[0.6484375  0.24609375 0.08854167 0.01692708],0,3
0.8145695364238411,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 13.42, 26.84, 40.26, 53.68, 67.1]",[0.01432292 0.22265625 0.640625   0.1171875  0.00520833],"[0.0, 41.0, 61.0, 81.0]",[0.74739583 0.21744792 0.03515625],0,3
0.8145695364238411,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 33.55, 67.1]",[0.5859375 0.4140625],"[0.0, 41.0, 61.0, 81.0]",[0.74739583 0.21744792 0.03515625],0,3
0.8145695364238411,"[0.0, 66.333, 132.667, 199.0]",[0.015625   0.67057292 0.31380208],"[0.0, 25.9, 30.1, 33.7, 37.8, 67.1]",[0.19270833 0.20182292 0.20182292 0.20182292 0.20182292],"[0.0, 24.0, 29.0, 41.0, 81.0]",[0.22526042 0.25260417 0.26953125 0.25260417],0,3
0.8145695364238411,"[0.0, 66.333, 132.667, 199.0]",[0.015625   0.67057292 0.31380208],"[0.0, 25.9, 30.1, 33.7, 37.8, 67.1]",[0.19270833 0.20182292 0.20182292 0.20182292 0.20182292],"[0.0, 23.0, 27.0, 33.0, 42.6, 81.0]",[0.17578125 0.21484375 0.20442708 0.20442708 0.20052083],0,3
0.8145695364238411,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 25.9, 30.1, 33.7, 37.8, 67.1]",[0.19270833 0.20182292 0.20182292 0.20182292 0.20182292],"[0.0, 36.0, 51.0, 66.0, 81.0]",[0.6484375  0.24609375 0.08854167 0.01692708],0,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 32.0, 67.1]",[0.48567708 0.51432292],"[0.0, 24.0, 29.0, 41.0, 81.0]",[0.22526042 0.25260417 0.26953125 0.25260417],1,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 32.0, 67.1]",[0.48567708 0.51432292],"[0.0, 30.0, 81.0]",[0.515625 0.484375],1,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 29.0, 81.0]",[0.47786458 0.52213542],1,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 32.0, 67.1]",[0.48567708 0.51432292],"[0.0, 29.0, 81.0]",[0.47786458 0.52213542],1,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 27.3, 32.0, 36.6, 67.1]",[0.24739583 0.23828125 0.26302083 0.25130208],[ -1  25  40  55  75 100],[0.28515625 0.4453125  0.19921875 0.06901042 0.00130208],2,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 33.55, 67.1]",[0.5859375 0.4140625],"[0.0, 24.0, 30.0, 42.0, 54.0, 81.0]",[0.22526042 0.29036458 0.26041667 0.14583333 0.078125  ],1,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 24.0, 30.0, 42.0, 54.0, 81.0]",[0.22526042 0.29036458 0.26041667 0.14583333 0.078125  ],1,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 24.0, 30.0, 54.0, 81.0]",[0.22526042 0.29036458 0.40625    0.078125  ],1,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 36.0, 51.0, 66.0, 81.0]",[0.6484375  0.24609375 0.08854167 0.01692708],1,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 33.55, 67.1]",[0.5859375 0.4140625],"[0.0, 24.0, 30.0, 54.0, 81.0]",[0.22526042 0.29036458 0.40625    0.078125  ],1,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 27.3, 32.0, 36.6, 67.1]",[0.24739583 0.23828125 0.26302083 0.25130208],[ -1  18  35  50  65 100],[0.         0.63541667 0.24869792 0.09505208 0.02083333],2,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],[ -1  18  35  50  65 100],[0.         0.63541667 0.24869792 0.09505208 0.02083333],2,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],1,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 25.9, 30.1, 33.7, 37.8, 67.1]",[0.19270833 0.20182292 0.20182292 0.20182292 0.20182292],"[0.0, 51.0, 81.0]",[0.89453125 0.10546875],1,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 27.3, 32.0, 36.6, 67.1]",[0.24739583 0.23828125 0.26302083 0.25130208],"[0.0, 25.0, 36.0, 81.0]",[0.28515625 0.36328125 0.3515625 ],1,3
0.8092105263157895,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 25.9, 30.1, 33.7, 37.8, 67.1]",[0.19270833 0.20182292 0.20182292 0.20182292 0.20182292],"[0.0, 36.0, 51.0, 66.0, 81.0]",[0.6484375  0.24609375 0.08854167 0.01692708],1,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 33.55, 67.1]",[0.5859375 0.4140625],"[0.0, 29.0, 81.0]",[0.47786458 0.52213542],0,3
0.8079470198675497,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 27.3, 32.0, 36.6, 67.1]",[0.24739583 0.23828125 0.26302083 0.25130208],[ -1  18  35  50  65 100],[0.         0.63541667 0.24869792 0.09505208 0.02083333],1,3
0.8079470198675497,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 41.0, 61.0, 81.0]",[0.74739583 0.21744792 0.03515625],0,3
0.8079470198675497,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 36.0, 51.0, 66.0, 81.0]",[0.6484375  0.24609375 0.08854167 0.01692708],0,3
0.8079470198675497,"[0.0, 95.0, 109.0, 125.0, 147.0, 199.0]",[0.19140625 0.20182292 0.20182292 0.203125   0.20182292],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8079470198675497,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 24.0, 30.0, 54.0, 81.0]",[0.22526042 0.29036458 0.40625    0.078125  ],0,3
0.8079470198675497,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 33.0, 45.0, 57.0, 69.0, 81.0]",[0.59505208 0.23177083 0.11197917 0.0546875  0.00651042],0,3
0.8079470198675497,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 24.0, 30.0, 42.0, 54.0, 81.0]",[0.22526042 0.29036458 0.26041667 0.14583333 0.078125  ],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 28.9, 34.733, 67.1]",[0.33072917 0.3359375  0.33333333],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 13.42, 26.84, 40.26, 53.68, 67.1]",[0.01432292 0.22265625 0.640625   0.1171875  0.00520833],"[0.0, 24.0, 30.0, 54.0, 81.0]",[0.22526042 0.29036458 0.40625    0.078125  ],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 13.42, 26.84, 40.26, 53.68, 67.1]",[0.01432292 0.22265625 0.640625   0.1171875  0.00520833],"[0.0, 33.0, 45.0, 57.0, 69.0, 81.0]",[0.59505208 0.23177083 0.11197917 0.0546875  0.00651042],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 13.42, 26.84, 40.26, 53.68, 67.1]",[0.01432292 0.22265625 0.640625   0.1171875  0.00520833],"[0.0, 24.0, 30.0, 42.0, 54.0, 81.0]",[0.22526042 0.29036458 0.26041667 0.14583333 0.078125  ],0,3
0.8079470198675497,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 25.9, 30.1, 33.7, 37.8, 67.1]",[0.19270833 0.20182292 0.20182292 0.20182292 0.20182292],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8079470198675497,"[0.0, 49.75, 99.5, 149.25, 199.0]",[0.0078125  0.24869792 0.55729167 0.18619792],"[0.0, 25.9, 30.1, 33.7, 37.8, 67.1]",[0.19270833 0.20182292 0.20182292 0.20182292 0.20182292],"[0.0, 29.0, 81.0]",[0.47786458 0.52213542],0,3
0.8079470198675497,"[0.0, 49.75, 99.5, 149.25, 199.0]",[0.0078125  0.24869792 0.55729167 0.18619792],"[0.0, 25.9, 30.1, 33.7, 37.8, 67.1]",[0.19270833 0.20182292 0.20182292 0.20182292 0.20182292],"[0.0, 30.0, 81.0]",[0.515625 0.484375],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 32.0, 67.1]",[0.48567708 0.51432292],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8079470198675497,"[0.0, 99.0, 154.0, 199.0]",[0.234375   0.59895833 0.16666667],"[0.0, 25.9, 30.1, 33.7, 37.8, 67.1]",[0.19270833 0.20182292 0.20182292 0.20182292 0.20182292],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8079470198675497,"[0.0, 105.0, 130.0, 199.0]",[0.32682292 0.33723958 0.3359375 ],"[0.0, 26.3, 67.1]",[0.21614583 0.78255208],"[0.0, 36.0, 51.0, 66.0, 81.0]",[0.6484375  0.24609375 0.08854167 0.01692708],0,3
0.8079470198675497,"[0.0, 99.0, 154.0, 199.0]",[0.234375   0.59895833 0.16666667],"[0.0, 27.3, 32.0, 36.6, 67.1]",[0.24739583 0.23828125 0.26302083 0.25130208],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8079470198675497,"[0.0, 99.0, 154.0, 199.0]",[0.234375   0.59895833 0.16666667],"[0.0, 13.42, 26.84, 40.26, 53.68, 67.1]",[0.01432292 0.22265625 0.640625   0.1171875  0.00520833],"[0.0, 36.0, 51.0, 66.0, 81.0]",[0.6484375  0.24609375 0.08854167 0.01692708],0,3
0.8079470198675497,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 33.55, 67.1]",[0.5859375 0.4140625],"[0.0, 51.0, 81.0]",[0.89453125 0.10546875],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 32.0, 67.1]",[0.48567708 0.51432292],[ -1  18  35  50  65 100],[0.         0.63541667 0.24869792 0.09505208 0.02083333],1,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 32.0, 67.1]",[0.48567708 0.51432292],[ -1  18  35  50  65 100],[0.         0.63541667 0.24869792 0.09505208 0.02083333],1,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 33.55, 67.1]",[0.5859375 0.4140625],"[0.0, 29.0, 81.0]",[0.47786458 0.52213542],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 32.0, 67.1]",[0.48567708 0.51432292],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8079470198675497,"[0.0, 49.75, 99.5, 149.25, 199.0]",[0.0078125  0.24869792 0.55729167 0.18619792],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 33.0, 45.0, 57.0, 69.0, 81.0]",[0.59505208 0.23177083 0.11197917 0.0546875  0.00651042],0,3
0.8079470198675497,"[0.0, 49.75, 99.5, 149.25, 199.0]",[0.0078125  0.24869792 0.55729167 0.18619792],"[0.0, 28.9, 34.733, 67.1]",[0.33072917 0.3359375  0.33333333],"[0.0, 24.0, 30.0, 42.0, 54.0, 81.0]",[0.22526042 0.29036458 0.26041667 0.14583333 0.078125  ],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 13.42, 26.84, 40.26, 53.68, 67.1]",[0.01432292 0.22265625 0.640625   0.1171875  0.00520833],"[0.0, 24.0, 29.0, 41.0, 81.0]",[0.22526042 0.25260417 0.26953125 0.25260417],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 13.42, 26.84, 40.26, 53.68, 67.1]",[0.01432292 0.22265625 0.640625   0.1171875  0.00520833],"[0.0, 24.0, 30.0, 54.0, 81.0]",[0.22526042 0.29036458 0.40625    0.078125  ],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 13.42, 26.84, 40.26, 53.68, 67.1]",[0.01432292 0.22265625 0.640625   0.1171875  0.00520833],"[0.0, 33.0, 45.0, 57.0, 69.0, 81.0]",[0.59505208 0.23177083 0.11197917 0.0546875  0.00651042],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 23.0, 27.0, 33.0, 42.6, 81.0]",[0.17578125 0.21484375 0.20442708 0.20442708 0.20052083],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 29.0, 81.0]",[0.47786458 0.52213542],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 28.9, 34.733, 67.1]",[0.33072917 0.3359375  0.33333333],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8079470198675497,"[0.0, 99.0, 154.0, 199.0]",[0.234375   0.59895833 0.16666667],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 30.0, 81.0]",[0.515625 0.484375],0,3
0.8079470198675497,"[0.0, 99.0, 154.0, 199.0]",[0.234375   0.59895833 0.16666667],"[0.0, 28.9, 34.733, 67.1]",[0.33072917 0.3359375  0.33333333],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 28.9, 34.733, 67.1]",[0.33072917 0.3359375  0.33333333],"[0.0, 33.0, 45.0, 57.0, 69.0, 81.0]",[0.59505208 0.23177083 0.11197917 0.0546875  0.00651042],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 13.42, 26.84, 40.26, 53.68, 67.1]",[0.01432292 0.22265625 0.640625   0.1171875  0.00520833],"[0.0, 24.0, 30.0, 42.0, 54.0, 81.0]",[0.22526042 0.29036458 0.26041667 0.14583333 0.078125  ],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 27.3, 32.0, 36.6, 67.1]",[0.24739583 0.23828125 0.26302083 0.25130208],"[0.0, 30.0, 81.0]",[0.515625 0.484375],0,3
0.8079470198675497,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 32.0, 67.1]",[0.48567708 0.51432292],"[0.0, 24.0, 29.0, 41.0, 81.0]",[0.22526042 0.25260417 0.26953125 0.25260417],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 29.0, 81.0]",[0.47786458 0.52213542],0,3
0.8079470198675497,"[0.0, 99.0, 154.0, 199.0]",[0.234375   0.59895833 0.16666667],"[0.0, 27.3, 32.0, 36.6, 67.1]",[0.24739583 0.23828125 0.26302083 0.25130208],[ -1  18  35  50  65 100],[0.         0.63541667 0.24869792 0.09505208 0.02083333],1,3
0.8079470198675497,"[0.0, 49.75, 99.5, 149.25, 199.0]",[0.0078125  0.24869792 0.55729167 0.18619792],"[0.0, 32.0, 67.1]",[0.48567708 0.51432292],"[0.0, 29.0, 81.0]",[0.47786458 0.52213542],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 27.3, 32.0, 36.6, 67.1]",[0.24739583 0.23828125 0.26302083 0.25130208],"[0.0, 30.0, 81.0]",[0.515625 0.484375],0,3
0.8079470198675497,"[0.0, 99.0, 154.0, 199.0]",[0.234375   0.59895833 0.16666667],"[0.0, 32.0, 67.1]",[0.48567708 0.51432292],[ -1  25  40  55  75 100],[0.28515625 0.4453125  0.19921875 0.06901042 0.00130208],1,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 25.9, 30.1, 33.7, 37.8, 67.1]",[0.19270833 0.20182292 0.20182292 0.20182292 0.20182292],"[0.0, 33.0, 45.0, 57.0, 69.0, 81.0]",[0.59505208 0.23177083 0.11197917 0.0546875  0.00651042],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 13.42, 26.84, 40.26, 53.68, 67.1]",[0.01432292 0.22265625 0.640625   0.1171875  0.00520833],"[0.0, 24.0, 29.0, 41.0, 81.0]",[0.22526042 0.25260417 0.26953125 0.25260417],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 23.0, 27.0, 33.0, 42.6, 81.0]",[0.17578125 0.21484375 0.20442708 0.20442708 0.20052083],0,3
0.8079470198675497,"[0.0, 95.0, 109.0, 125.0, 147.0, 199.0]",[0.19140625 0.20182292 0.20182292 0.203125   0.20182292],"[0.0, 33.55, 67.1]",[0.5859375 0.4140625],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8079470198675497,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 28.9, 34.733, 67.1]",[0.33072917 0.3359375  0.33333333],"[0.0, 41.0, 61.0, 81.0]",[0.74739583 0.21744792 0.03515625],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 13.42, 26.84, 40.26, 53.68, 67.1]",[0.01432292 0.22265625 0.640625   0.1171875  0.00520833],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 28.9, 34.733, 67.1]",[0.33072917 0.3359375  0.33333333],"[0.0, 33.0, 45.0, 57.0, 69.0, 81.0]",[0.59505208 0.23177083 0.11197917 0.0546875  0.00651042],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 13.42, 26.84, 40.26, 53.68, 67.1]",[0.01432292 0.22265625 0.640625   0.1171875  0.00520833],"[0.0, 24.0, 30.0, 81.0]",[0.22526042 0.29036458 0.484375  ],0,3
0.8079470198675497,"[0.0, 39.8, 79.6, 119.4, 159.2, 199.0]",[0.00651042 0.046875   0.47786458 0.3359375  0.1328125 ],"[0.0, 32.0, 67.1]",[0.48567708 0.51432292],"[0.0, 36.0, 51.0, 66.0, 81.0]",[0.6484375  0.24609375 0.08854167 0.01692708],0,3
0.8079470198675497,"[0.0, 99.0, 127.0, 154.0, 199.0]",[0.234375   0.390625   0.20833333 0.16666667],"[0.0, 25.9, 30.1, 33.7, 37.8, 67.1]",[0.19270833 0.20182292 0.20182292 0.20182292 0.20182292],"[0.0, 33.0, 45.0, 57.0, 69.0, 81.0]",[0.59505208 0.23177083 0.11197917 0.0546875  0.00651042],0,3
0.8079470198675497,"[0.0, 154.0, 199.0]",[0.83333333 0.16666667],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 29.0, 81.0]",[0.47786458 0.52213542],0,3
0.8079470198675497,"[0.0, 99.0, 154.0, 199.0]",[0.234375   0.59895833 0.16666667],"[0.0, 28.9, 34.733, 67.1]",[0.33072917 0.3359375  0.33333333],"[0.0, 24.0, 29.0, 41.0, 81.0]",[0.22526042 0.25260417 0.26953125 0.25260417],0,3
0.8079470198675497,"[0.0, 99.0, 154.0, 199.0]",[0.234375   0.59895833 0.16666667],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],[ -1  18  35  50  65 100],[0.         0.63541667 0.24869792 0.09505208 0.02083333],1,3
0.8079470198675497,"[0.0, 99.0, 154.0, 199.0]",[0.234375   0.59895833 0.16666667],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 51.0, 81.0]",[0.89453125 0.10546875],0,3
0.8026315789473685,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 25.0, 36.0, 81.0]",[0.28515625 0.36328125 0.3515625 ],1,3
0.8026315789473685,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 25.9, 30.1, 33.7, 37.8, 67.1]",[0.19270833 0.20182292 0.20182292 0.20182292 0.20182292],[ -1  18  35  50  65 100],[0.         0.63541667 0.24869792 0.09505208 0.02083333],2,3
0.8026315789473685,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 27.3, 32.0, 36.6, 67.1]",[0.24739583 0.23828125 0.26302083 0.25130208],"[0.0, 24.0, 30.0, 54.0, 81.0]",[0.22526042 0.29036458 0.40625    0.078125  ],1,3
0.8026315789473685,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 27.3, 32.0, 36.6, 67.1]",[0.24739583 0.23828125 0.26302083 0.25130208],"[0.0, 24.0, 30.0, 42.0, 54.0, 81.0]",[0.22526042 0.29036458 0.26041667 0.14583333 0.078125  ],1,3
0.8026315789473685,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 36.0, 51.0, 66.0, 81.0]",[0.6484375  0.24609375 0.08854167 0.01692708],1,3
0.8026315789473685,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 30.0, 81.0]",[0.515625 0.484375],1,3
0.8026315789473685,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],[ -1  25  40  55  75 100],[0.28515625 0.4453125  0.19921875 0.06901042 0.00130208],2,3
0.8026315789473685,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 16.775, 33.55, 50.325, 67.1]",[0.01432292 0.57161458 0.40364583 0.01041667],"[0.0, 23.0, 27.0, 33.0, 42.6, 81.0]",[0.17578125 0.21484375 0.20442708 0.20442708 0.20052083],1,3
0.8026315789473685,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 22.367, 44.733, 67.1]",[0.06640625 0.88671875 0.046875  ],"[0.0, 24.0, 29.0, 41.0, 81.0]",[0.22526042 0.25260417 0.26953125 0.25260417],1,3
0.8026315789473685,[ -1 140 200],[0.74348958 0.25651042],"[0.0, 33.55, 67.1]",[0.5859375 0.4140625],[ -1  18  35  50  65 100],[0.         0.63541667 0.24869792 0.09505208 0.02083333],2,3
